,ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
9077,15000Q027,4,QN,413,QUEENS COMMUNITY DISTRICT 13,NA,NA,LAURELTON PARKWAY,"121 Ave., N. Conduit Ave. bet. Laurelton Pkwy. Sr. Rd. S and Brookville Blvd.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,59.612,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,59.612,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,30,NYC Department of Parks & Recreation / Department of Transportation ,NYC DPR/DOT,NA,NA,NA,NA,NA,NA,NA,1056460,182590,L,40.72639356,-73.98328722,1,range_interpolation,121,Ave A,New York,NY,New York County,10009
19331,4100DC14360,3,BK,312,BROOKLYN COMMUNITY DISTRICT 12,5365,6,"YELED V' YALDA EARLY CHILDHOOD CENTER,INC.",3909 15 Ave,11218,4104,Head Start Center - Public,Head Start Center - Public,Head Start Ctr - Public,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b04,Head Start Center - Public,82,Daycare and Headstart Facilities,43,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,228,228,39,20,66,6900,3053650006,989269,171551,L,40.64434,-73.978411,0.22,place,,,Brooklyn,NY,Kings County,11218
16767,3862870989,1,MN,102,MANHATTAN COMMUNITY DISTRICT 2,597,12,FEDERATION EMPLOY. & GUIDANCE SVC.,315 Hudson St,10013,3810,Supported Work/Employment Training - Developmental Disability,Supported Work/Employment Training - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h06,Supported Work/Employment Training,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,37,37,3,2,1,6800,1005970012,982036,203878,L,40.72638738,-74.00763519,1,rooftop,315,Hudson St,New York,NY,New York County,10013
19408,4.54E+04,4,QN,412,QUEENS COMMUNITY DISTRICT 12,12039,44,ROCKAWAY BLVD NEIGHBORHOOD SENIOR CENTER,123-10 143 St,11436,4501,Senior Center,Senior Center,Senior Ctr,9,FACILITIES FOR SENIORS,5,Housing & Social Service Facilities,5c,Senior Centers and Assisted Living Facilities,5c01,Senior Center,91,Senior Centers,4920,9,Average Monthly Meals Served,Av. Meals/Month,NA,NA,NA,91,Not For Profit,NFP,21,NYC Department for the Aging ,NYC DFTA,182,182,28,27,113,3220,4120390044,1040811,184982,L,40.67436981,-73.7959433,1,rooftop,123-010,143rd St,Jamaica,NY,Queens County,11436
13162,327002150R6701,2,BX,205,BRONX COMMUNITY DISTRICT 5,2850,9,JEROME FAMILY HEALTH CENTER,1778 Jerome Ave,10453,3202,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Trtmnt Ctr Ext Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a04,Diagnostic and Treatment Center Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,90,Proprietary,Private,54,NYS Department of Health ,NYS DOH,227.01,22701,14,9,46,2310,2028500009,1008734,248350,L,40.84831302,-73.91168875,1,rooftop,1778,Jerome Ave,Bronx,NY,Bronx County,10453
348,1.03E+13,3,BK,318,BROOKLYN COMMUNITY DISTRICT 18,8464,1,PS 236 MILL BASIN,6302 Ave U,11234,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,578,1,Day Care or Head Start Center Capacity,Children,NA,578,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,698,698,46,22,63,8822,3084640001,1008680,163529,L,40.61593839,-73.91309545,1,range_interpolation,6302,Ave U,Brooklyn,NY,Kings County,11234
16916,4100DC375,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,4292,61,"COLONY-SOUTH BROOKLYN HOUSES, INC",720 Euclid Ave,11208,4101,Group Day Care - Public,Group Day Care - Public,Group Day Care - Public,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b01,Group Day Care - Public,82,Daycare and Headstart Facilities,50,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,1210,1210,42,19,75,6410,3042920061,1019370,183667,L,40.66936062,-73.87044695,1,range_interpolation,720,Euclid Ave,Brooklyn,NY,Kings County,11208
5306,15000Q357A1,4,QN,404,QUEENS COMMUNITY DISTRICT 4,1913,100,PARK,Horace Harding Exwy. Sr. Rd. N. bet. 94 St. and Junction Blvd,NA,1513,"Triangle, Plaza, Mall, Lot, Strip - NYC","Triangle, Plaza, Mall, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c02,"Triangle, Plaza, Mall, Lot, Strip - NYC",22,Parklands,0.022,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.022,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4019130100,1021506,206739,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
10350,15000XZ335,2,BX,208,BRONX COMMUNITY DISTRICT 8,NA,NA,GREENSTREET,Bailey Pl and Bailey Ave,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.02,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.02,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1011710,259982,L,40.88087,-73.900413,0.94,intersection,,Bailey Ave,Bronx,NY,Bronx County,10463
4117,15000X287,2,BX,204,BRONX COMMUNITY DISTRICT 4,2522,117,OGDEN PLIMPTON PLAYGROUND,"Ogden Av, Plimpton Av, W 170 St",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,0.229,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.229,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,2025220117,1005338,245994,L,40.83562,-73.927859,1,street_center,,Ogden Ave,Bronx,NY,Bronx County,10452
16412,3885030300,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,1733,1,HARLEM INDEPENDENT LIVING CENTER,506 Lenox Ave,10037,3804,Clinic Treatment - Developmental Disability,Clinic Treatment - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h03,Clinic Treatment,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,212,212,9,5,32,1300,1017330001,1000923,235890,L,40.81434575,-73.94030659,1,rooftop,506,Lenox Ave,New York,NY,New York County,10037
16479,3872760445,2,BX,211,BRONX COMMUNITY DISTRICT 11,4209,37,"QSAC, INC.",1968 Eastchester Rd,10461,3805,Day Habilitation - Developmental Disability,Day Habilitation - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h04,Day Habilitation,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,58,6,Outpatient or Day Program Facility Capacity,Program Capacity,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,296,296,13,11,49,1410,2042090037,1027684,249977,L,40.85279565,-73.84308783,1,rooftop,1968,Eastchester Rd,Bronx,NY,Bronx County,10461
15729,3764510456,4,QN,409,QUEENS COMMUNITY DISTRICT 9,9207,26,"AABR, INC.",84-20 112 St,11418,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,6,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,130,130,32,27,102,2600,4092070026,1028947,194924,R,40.70161267,-73.83873796,1,rooftop,84-020,112th St,Richmond Hill,NY,Queens County,11418
12239,15000R110,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,7826,280,TOTTENVILLE POOL,Hylan Blvd. bet.ween Joline Ave. and Sprague Ave.,NA,1512,"Building/Institution, Athletic/Recreation Facility  - NYC","Building/Institution, Athletic/Recreation Fac  - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2d,Recreation Centers ,2d01,"Building/Institution, Athletic/Recreation Facility  - NYC",22,Parklands,3.259,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,3.259,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5078260280,918729,123445,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
8111,15000R119,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,6505,16,BLUE HERON PARK,"Amboy Rd., Barclay Ave., Hylan Blvd. and Bertram Ave.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,217.45,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,217.45,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5065050016,934364,132442,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
17812,4100DC22951,4,QN,401,QUEENS COMMUNITY DISTRICT 1,831,89,HAPPY  BEES DAY CARE,21-60 33 St,11105,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,18,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,113,113,22,30,114,120,4008310089,1009374,222018,L,40.77607537,-73.90874898,1,range_interpolation,21-060,33rd St,Astoria,NY,Queens County,11105
5194,15000Q178,4,QN,411,QUEENS COMMUNITY DISTRICT 11,NA,NA,MALL FORTY TWO XLII,"42 Av, Bell Bl To Francis Lewis Bl",NA,1513,"Triangle, Plaza, Mall, Lot, Strip - NYC","Triangle, Plaza, Mall, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c02,"Triangle, Plaza, Mall, Lot, Strip - NYC",22,Parklands,1.429,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,1.429,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,NA,1045948,216722,L,40.723648,-73.985286,1,range_interpolation,42,Ave A,New York,NY,New York County,10009
3096,15000QS27,4,QN,405,QUEENS COMMUNITY DISTRICT 5,2732,18,P.S. 153,"60 Rd, 60 La, and 60 Ave",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,0.814,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.814,NA,NA,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,NA,NA,NA,NA,NA,NA,4027320018,1010648,200264,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
4840,15000Q349,4,QN,411,QUEENS COMMUNITY DISTRICT 11,7753,1,TELEPHONE PLAYGROUND,75 Ave. bet. Bell Blvd. and 217 St.,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,1.056,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,1.056,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,31,NYC Department of Parks & Recreation / Department of Education ,NYC DPR/DOE,NA,NA,NA,NA,NA,NA,4077530001,1051701,208419,L,40.72508021,-73.98424407,1,range_interpolation,75,Ave A,New York,NY,New York County,10009
20404,490282261,3,BK,304,BROOKLYN COMMUNITY DISTRICT 4,3367,4,HAITIAN EVANGELICAL CLERGY,1139 Bushwick Ave,11221,4902,Food Pantry,Food Pantry,Food Pantry,10,RESIDENTIAL FACILITIES AND FOOD PROGRAMS FOR ADULTS AND FAMILIES,5,Housing & Social Service Facilities,5e,Drop-In Centers for the Homeless and Food Programs,5.00E+02,Food Pantry,102,Food Programs and Drop-In Centers,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,91,Not For Profit,NFP,99,NA,NA,399,399,34,32,83,3400,3033670004,1007026,190579,L,40.68962442,-73.91796557,1,rooftop,1139,Bushwick Ave,Brooklyn,NY,Kings County,11221
3392,15000Q484,4,QN,414,QUEENS COMMUNITY DISTRICT 14,15837,47,EDGEMERE URBAN RENEWAL PARK,Beach Channel Dr. bet. Beach 46 St. and Beach 45 St.,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,0.961,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.961,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4158370047,1046249,156171,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
14223,3.45E+11,1,MN,102,MANHATTAN COMMUNITY DISTRICT 2,523,47,"GREENWICH HOUSE, INC. OTP",190 Mercer St,10012,3408,Outpatient Methadone Maintenance/Treatment Service - Chemical Dependency,Outp Methadone Maint/Trtmnt Svc - Chem Depndncy,Outp Chemical  Depndncy Svc,5,CHEMICAL DEPENDENCY SERVICES,4,Hospitals & Health Service Facilities,4d,Addiction Service Facilities - Outpatient,4d05,Outpatient Methadone Maintenance/Treatment Service,52,Chemical Dependency Services - Non-Residential,800,6,Outpatient or Day Program Facility Capacity,Program Capacity,NA,NA,NA,91,Not For Profit,NFP,55,NYS Office of Alcoholism & Substance Abuse Services ,NYS OASAS,55.01,5501,1,2,6,5700,1005230047,985131,203809,L,40.72623071,-73.99711174,1,rooftop,190,Mercer St,New York,NY,New York County,10012
3216,15000BS23,3,BK,312,BROOKLYN COMMUNITY DISTRICT 12,778,23,I.S. 220,"48 St, 49 St, 8 Ave, and 9 Ave",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,0.905,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.905,NA,NA,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,NA,NA,NA,NA,NA,NA,3007780023,983903,172809,L,40.761606,-73.990316,0.85,intersection,,9th Ave,New York,NY,New York County,10036
12887,2102MN004,1,MN,106,MANHATTAN COMMUNITY DISTRICT 6,962,100,EMS STATION 8,430-514 1 Ave,10010,2102,NYC Emergency Medical Service,NYC Emergency Medical Svc,NYC Emergency Medical Svc,3,PUBLIC SAFETY AND CRIMINAL JUSTICE FACILITIES,4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a02,NYC Emergency Medical Services,31,"NYPD, FDNY, Courts, and Correctional Facilities",NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,10,NYC Fire Department ,FDNY,10,NYC Fire Department ,FDNY,62,62,4,2,13,6000,1009620100,991083,208423,L,40.741274,-73.975343,1,range_interpolation,430-514,1st Ave,New York,NY,New York County,10016
120,1.03E+13,2,BX,210,BRONX COMMUNITY DISTRICT 10,5141,150,PS 178 DR SELMAN WAKSMAN,850 Baychester Ave,10475,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,479,1,Day Care or Head Start Center Capacity,Children,NA,478,1,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,462.01,46201,12,11,45,710,2051410150,1030726,257765,L,40.87513304,-73.83333945,1,rooftop,850,Baychester Ave,Bronx,NY,Bronx County,10475
20190,490285275,4,QN,412,QUEENS COMMUNITY DISTRICT 12,10888,49,GENESIS TRANSITIONAL HOUSING MINISTRIES INC.,195-12 Hollis Ave,11412,4902,Food Pantry,Food Pantry,Food Pantry,10,RESIDENTIAL FACILITIES AND FOOD PROGRAMS FOR ADULTS AND FAMILIES,5,Housing & Social Service Facilities,5e,Drop-In Centers for the Homeless and Food Programs,5.00E+02,Food Pantry,102,Food Programs and Drop-In Centers,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,91,Not For Profit,NFP,99,NA,NA,504,504,27,29,103,3520,4108880049,1050128,196749,L,40.70652533,-73.76236733,1,rooftop,195-012,Hollis Ave,Saint Albans,NY,Queens County,11412
137,1.03E+13,4,QN,409,QUEENS COMMUNITY DISTRICT 9,9183,1,PS 66 JACQUELINE KENNEDY-ONASSIS,85-11 102 St,11418,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,533,1,Day Care or Head Start Center Capacity,Children,NA,533,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,24,24,32,27,102,2600,4091830001,1026914,193592,L,40.69791333,-73.84631002,1,rooftop,85-011,102nd St,Richmond Hill,NY,Queens County,11418
14646,358149001NL,3,BK,303,BROOKLYN COMMUNITY DISTRICT 3,1781,61,PROVIDENCE HOUSE SP/SRO,273-277 Kosciuszko St,11221,3508,Supported/Single Room Occupancy (SP-SRO) - Mental Health,Community-Based Residence - Mental Health,Res Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4e,Mental Health Facilities - Inpatient,4.00E+06,Supported/Single Room Occupancy (SP-SRO),61,Mental Health Services - Residential,18,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,261,261,36,16,79,1800,3017810061,999768,191286,R,40.693214,-73.928868,0.9,street_center,,Kosciuszko St,Brooklyn,NY,Kings County,11221
5441,15000X129,2,BX,205,BRONX COMMUNITY DISTRICT 5,NA,NA,DEVANNEY TRIANGLE,E. Burnside Ave. bet. Creston Ave. and G,NA,1513,"Triangle, Plaza, Mall, Lot, Strip - NYC","Triangle, Plaza, Mall, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c02,"Triangle, Plaza, Mall, Lot, Strip - NYC",22,Parklands,0.12,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.12,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,NA,1010664,249892,L,40.851851,-73.902718,1,street_center,,E Burnside Ave,Bronx,NY,Bronx County,10457
21488,5405015,4,QN,413,QUEENS COMMUNITY DISTRICT 13,10812,65,BELMONT PARK YARD,"222 St, 225 St, 96 Ave, Hempstead Ave",10001,5405,LIRR Yard,LIRR Yard,LIRR Yard,11,TRANSPORTATION FACILITIES,6,Transportation & Waste Facilities,6d,Operational Vehicle Storage Facilities,6d06,LIRR Yard,111,Transportation Facilities,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,87,Metropolitan Transportation Authority / Long Island Rail Road ,MTA/LIRR,87,Metropolitan Transportation Authority / Long Island Rail Road ,MTA/LIRR,568,568,27,29,105,2920,4108120065,1059443,200178,R,40.880931,-73.847545,1,street_center,,E 222nd St,Bronx,NY,Bronx County,10469
